Index,TagTime,Title,Artist,URL,TrackKey
1,2025-08-26,"Numb","Dotan",https://www.shazam.com/track/468163384/numb,468163384
2,2025-08-17,"Just Keep Watching (From F1® The Movie)","Tate McRae",https://www.shazam.com/track/822371366/just-keep-watching-from-f1-the-movie,822371366
3,2025-08-17,"Just Cool","Obongjayar",https://www.shazam.com/track/663797458/just-cool,663797458
4,2025-08-17,"Underdog (From F1® The Movie)","Roddy Ricch",https://www.shazam.com/track/826411786/underdog-from-f1-the-movie,826411786
5,2025-08-17,"Lose My Mind (feat. Doja Cat) [From F1® The Movie]","Don Toliver",https://www.shazam.com/track/822208557/lose-my-mind-feat-doja-cat-from-f1-the-movie,822208557
6,2025-08-16,"Astronaut In The Ocean","Masked Wolf",https://www.shazam.com/track/469270443/astronaut-in-the-ocean,469270443
7,2025-08-16,"HUMBLE.","Kendrick Lamar",https://www.shazam.com/track/346034996/humble,346034996
8,2025-08-16,"99 Problems","Big Baby Tape & kizaru",https://www.shazam.com/track/587879823/99-problems,587879823
9,2025-08-16,"Ты кидал","5'nizza",https://www.shazam.com/track/45391576/%D1%82%D1%8B-%D0%BA%D0%B8%D0%B4%D0%B0%D0%BB,45391576
10,2025-08-02,"Tokyo Drift","Teriyaki Boyz",https://www.shazam.com/track/44344060/tokyo-drift,44344060
11,2025-08-02,"U.S.A.","Dubioza Kolektiv",https://www.shazam.com/track/56006435/u-s-a,56006435
12,2025-07-29,"Through My Veins (feat. Vicki Vox)","spring gang",https://www.shazam.com/track/470695329/through-my-veins-feat-vicki-vox,470695329
13,2025-07-25,"Yamore (feat. Cesária Evora, Benja (NL) & Franc Fala)","MoBlack & Salif Keïta",https://www.shazam.com/track/690274636/yamore-feat-ces%C3%A1ria-evora-benja-nl-franc-fala,690274636
14,2025-06-28,"Not Like Us","Kendrick Lamar",https://www.shazam.com/track/700144995/not-like-us,700144995
15,2025-05-31,"It's Tricky","Run-DMC",https://www.shazam.com/track/237030/its-tricky,237030
16,2025-05-10,"How You Like That","BLACKPINK",https://www.shazam.com/track/526538828/how-you-like-that,526538828
17,2025-05-07,"What's a Woman","Vaya Con Dios",https://www.shazam.com/track/20080447/whats-a-woman,20080447
18,2025-04-30,"Pepas","Farruko",https://www.shazam.com/track/575061784/pepas,575061784
19,2025-04-26,"Sit Next to Me","Foster the People",https://www.shazam.com/track/359665330/sit-next-to-me,359665330
20,2025-04-26,"Get Back","Valeria Stoica",https://www.shazam.com/track/406902232/get-back,406902232
21,2025-04-26,"What's the Difference (feat. Eminem & Xzibit)","Dr. Dre",https://www.shazam.com/track/230107/whats-the-difference-feat-eminem-xzibit,230107
22,2025-04-26,"Lay Low","Tiësto",https://www.shazam.com/track/644444967/lay-low,644444967
23,2025-04-20,"Дискотека из 90","RaiM, Artur & Zhenis",https://www.shazam.com/track/426954498/%D0%B4%D0%B8%D1%81%D0%BA%D0%BE%D1%82%D0%B5%D0%BA%D0%B0-%D0%B8%D0%B7-90,426954498
24,2025-04-06,"Давай сбежим (Искорки)","5UTRA",https://www.shazam.com/track/667862787/%D0%B4%D0%B0%D0%B2%D0%B0%D0%B9-%D1%81%D0%B1%D0%B5%D0%B6%D0%B8%D0%BC-%D0%B8%D1%81%D0%BA%D0%BE%D1%80%D0%BA%D0%B8,667862787
25,2025-03-20,"Mwaki","ZERB & Sofiya Nzau",https://www.shazam.com/track/678665902/mwaki,678665902
26,2025-03-02,"Here Comes The Night","Agnes",https://www.shazam.com/track/585390459/here-comes-the-night,585390459
27,2025-02-27,"Too Many Nights (feat. Don Toliver)","Metro Boomin & Future",https://www.shazam.com/track/643726177/too-many-nights-feat-don-toliver,643726177
28,2025-02-14,"DtMF","Bad Bunny",https://www.shazam.com/track/808381470/dtmf,808381470
29,2025-02-14,"TOMBOY","i-dle",https://www.shazam.com/track/605875692/tomboy,605875692
30,2025-02-13,"Messy","Lola Young",https://www.shazam.com/track/699212512/messy,699212512
31,2025-02-13,"São Paulo","The Weeknd & Anitta",https://www.shazam.com/track/714461865/s%C3%A3o-paulo,714461865
